Date/Time:  15.aug  15:50			
Temp   20.3					
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0	297.91	877.80	2962.10	3358.36	2.17
1	336.67	982.61	3310.16	3752.66	2.26
2	300.2	888.69	3003.72	3404.62	2.14
3	283.83	841.08	2858.74	3242.21	2.18
4	97.16	385.54	1335.33	1515.49	2.60
5	264.31	787.78	2654.6	3009.24	2.14
6	248.93	760.37	2596.03	2943.26	2.13
7	247.74	751.71	2537.74	2876.12	2.07
8	242.52	737.97	2508.64	2844.98	2.19
9	261.04	780.94	2641.09	2993.78	2.13
10	261.56	769.21	2598.33	2945.6	2.10
11	290.41	842.92	2864.66	3250.44	2.09
12	257.19	754.96	2549.17	2887.6	2.10
13	255.97	768.97	2599.77	2947.74	2.18
14	274.26	807.72	2739.65	3106.97	2.22
15					
16	288.07	843.82	2854.65	3236.86	2.16
17	261.27	778.89	2635.26	2990.71	2.18
18	202.4	635.39	2152.74	2441.67	2.08
19	262.36	777.57	2640.38	2994.97	2.11
20	276.6	806.26	2741.05	3109.77	2.17
21	259.4	784.26	2659.78	3016.64	2.15
22	261.18	773.85	2628.22	2980.65	2.12
23	119.36	447.34	1518.22	1721.44	2.30
24	264.72	788.62	2682.77	3042.73	2.10
25	221.21	680.1	2282.48	2587.42	2.20
26	120.7	449.51	1532.4	1783.92	2.50
27	251.59	749.96	2555.68	2897.61	2.20
28	250.2	744.82	2506.79	2840.1	??
29	128.25	259.15	934.32	1060.19	3.30
30	107.39	420.94	1428.64	1622.38	3.10
