Date/Time:  20.aug  12:04			
Temp  16.5					
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0	301.45	883.10	2977.18	3375.92	2.20
1	338.94	982.95	3313.24	3756.22	2.25
2	295.99	878.39	2968.31	3363.76	2.13
3	283.82	841.21	2854.69	3237.28	2.13
4	118.84	388.3	1344.59	1523.62	2.90
5	266.61	790.22	2666.44	3021.83	2.11
6	248.94	760.12	2595.01	2941.55	2.17
7	244.16	746.14	2530.6	2856.86	2.10
8	243.44	741.73	2525.47	2865.47	2.20
9	260.86	780.42	2640.18	2993.22	2.13
10	261.02	769.59	2598.58	2945.77	2.10
11	282.88	829.92	2815.87	3194.37	2.08
12	257.23	754.75	2547.58	2891.46	2.10
13	256.74	769.37	2597.95	2945.06	2.18
14	279.87	809.75	2740.1	3106.49	2.20
15					
16	282.83	832.6	2813.34	3190.12	2.15
17	269.04	792.68	2686.77	3045.87	2.15
18	167.56	448.83	2171.01	2462.43	2.11
19	202.93	636.96	2635.7	2989.5	2.08
20	271.95	808.54	2748.31	3117.78	2.19
21	259.38	783.97	2659.23	3015.97	2.17
22	261.56	773.94	2627.95	2980.86	2.08
23	118.92	445.98	1519	1723.38	2.30
24	264.57	789.67	2687.19	3047.73	2.06
25	225.37	684.25	2293.58	2602.61	??
26	119.12	445.254	1521.87	1727.36	2.50
27	249.62	748.69	2552.9	2895.2	2.14
28	250.23	745.07	2521.07	2857.88	2.15
29	128.24	254.99	930.97	1056.48	3.10
30	109.59	425.19	1431.53	1623.38	3.10
