Date/Time:  02.sep  11:40			
Temp  NAN					
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
1	294.27	881.341	2974.958	3370.595	2.82
2	344	996.23	3366.65	3817.29	2.25
3	NAN	870.1	2940.66	3332.68	2.13
4	282.92	840.65	2850.7	3233.05	2.15
5	NAN	382.974	1316.73	1491.5	2.5
6	264.34	786.12	2653.98	3008.1	2.11
7	251.57	760.3	2591.5	2941.16	NAN
8	246.4	749.83	2534.89	2872.99	2.13
9	242.1	739.29	2525.62	2864.36	2.21
10	260.89	779.59	2634.87	2986.95	2.14
11	260.72	769.28	2596.5	2944.91	2.2
12	291.35	845.59	2875.2	3262.72	2.11
13	254.87	753.31	2541.35	2879.89	2.07
14	254.85	766.03	2586.19	2931.88	2.18
15	277.55	805.46	2726.59	3091.68	2.24
16					
17	290.95	851.06	2877.63	3262.65	2.18
18	268.57	793.78	2686.53	3048.74	2.17
19	201.83	636.74	2160.39	2449.75	2.08
20	261.72	775.93	2635.5	2988.03	2.2
21	270.74	801.37	2723.91	3090.21	2.12
22	255.35	775.74	2630.31	2983.21	2.16
23	265.65	785.93	2678.3	3037.73	2.09
24	NAN	446.95	1519.5	1723.5	2.3
25	267.86	789.47	2683.67	3035.5	2.1
26	NAN	663.84	2234.46	2536.5	2.2
27	NAN	447.832	1529.61	1734.5	2.5
28	252.64	750.24	2548.27	2890.47	2.09
29	240.94	737.96	2512.5	2849.72	2.2
30					
31					

