Date/Time:  20.jun  10:36			
Temp	NAN				
Channelnumber  Centrod1	 Centroid2  Centroid3  Centroid4 Resolution 1332keVpeak
0	298.38	876.51	2953.24	3348.34	2.16
1	336.13	977.47	3297.41	3738.82	2.29
2	293.78	871.73	2947.16	3339.96	2.10
3	281.58	836.1	2842.53	3223.94	2.15
4	91.8078	379.205	1307.23	1481.32	2.74
5	265.63	785.88	2650.89	3004.25	2.14
6	254.37	768.48	2625.51	2978.22	2.19
7	244.2	744.97	2516.75	2852	2.06
8	241.31	735.77	2500.97	2836.45	2.18
9	259.75	778.4	2630.69	2981.99	2.17
10	259.94	766.5	2587.42	2933.46	2.13
11	279.40	822.25	2788.37	3163.90	2.10
12	256.52	753.43	2542.32	2880.65	2.08
13	255.63	765.79	2584.4	2929.63	2.15
14	272.26	801.22	2715.72	3079.32	2.16
15					
16	286.07	838.41	2836.44	3215.68	2.17
17	259.94	773.96	2621.23	2970.52	2.17
18	203.526	639.314	2167.05	2457.99	2.54
19	259.01	767.77	2607.41	2957.61	2.15
20	271.48	799.42	2718	3083.73	2.20
21	253.09	770.60	2614.66	2965.38	2.17
22	259.87	771.01	2618.06	2969.64	2.09
23	114.095	443.6	1510.62	1712.46	2.60
24	266.4	785.65	2662.03	3019.37	2.12
25	266.51	674.344	2267.59	2572.64	2.6
26	115.299	445.764	1522.62	1729.05	2.9
27	248.5	742.58	2530.72	2870.4	2.07
28	248.35	741.67	2512.29	2848.48	2.18
29	129.21	0	927.332	1051.73	3.3
30	106.421	419.771	1421.53	1612.48	3.06
